"brokered_by","price","bed","bath","acre_lot","street","city","state","house_size","price_per_sqft","price_per_acre","area_type"
52707,180000,3,2,0.09,418675,"Carolina","Puerto Rico",1574,114.36,2e+06,"urban"
52707,695000,2,3,0.12,960166,"Carolina","Puerto Rico",1445,480.97,5791666.67,"urban"
60313,695000,4,4,0.12,1236635,"Carolina","Puerto Rico",3400,204.41,5791666.67,"urban"
35686,569000,2,2,0.12,1482709,"Carolina","Puerto Rico",1138,500,4741666.67,"urban"
33842,49900,3,1,0.12,596003,"Canovanas","Puerto Rico",813,61.38,415833.33,"urban"
62409,70000,3,2,0.12,1854771,"Rio Grande","Puerto Rico",825,84.85,583333.33,"urban"
74819,44000,4,2,0.05,114344,"Rio Grande","Puerto Rico",1113,39.53,880000,"urban"
43853,95000,3,2,0.07,1884213,"Carolina","Puerto Rico",1600,59.38,1357142.86,"urban"
40848,90000,4,4,0.07,1855328,"Loiza","Puerto Rico",1561,57.66,1285714.29,"urban"
46667,115000,3,1,0.08,1888363,"Carolina","Puerto Rico",900,127.78,1437500,"urban"
86129,86000,3,1,0.08,1905989,"Rio Grande","Puerto Rico",951,90.43,1075000,"urban"
52707,150000,4,2,0.07,1916112,"Carolina","Puerto Rico",1200,125,2142857.14,"urban"
49569,164900,3,2,0.04,1985067,"Carolina","Puerto Rico",982,167.92,4122500,"urban"
62409,90000,3,2,0.12,1842574,"Canovanas","Puerto Rico",1135,79.3,750000,"urban"
49569,94000,4,2,0.08,536852,"Carolina","Puerto Rico",1255,74.9,1175000,"urban"
52707,350000,1,1,0.12,1501069,"Carolina","Puerto Rico",691,506.51,2916666.67,"urban"
74819,699000,3,2,0.12,18664,"Carolina","Puerto Rico",1200,582.5,5825000,"urban"
74819,61000,4,2,0.11,820672,"Canovanas","Puerto Rico",1228,49.67,554545.45,"urban"
74819,159900,5,5,0.07,1854960,"Carolina","Puerto Rico",3303,48.41,2284285.71,"urban"
40848,115000,3,1,0.07,1854801,"Rio Grande","Puerto Rico",932,123.39,1642857.14,"urban"
71826,179000,3,2,0.12,1897486,"Carolina","Puerto Rico",1379,129.8,1491666.67,"urban"
46667,240000,3,2,0.12,553893,"Loiza","Puerto Rico",1239,193.7,2e+06,"urban"
92147,126000,3,2,0.12,1854821,"Carolina","Puerto Rico",1410,89.36,1050000,"urban"
52707,750000,3,3,0.13,792806,"Carolina","Puerto Rico",2100,357.14,5769230.77,"urban"
52707,29000,1,1,0.18,1913906,"Canovanas","Puerto Rico",586,49.49,161111.11,"urban"
52707,99000,3,2,0.05,329484,"Rio Grande","Puerto Rico",1587,62.38,1980000,"urban"
83071,57000,1,1,0.12,6930,"Carolina","Puerto Rico",616,92.53,475000,"urban"
1205,160000,3,2,0.12,1512580,"Carolina","Puerto Rico",1218,131.36,1333333.33,"urban"
61543,4e+05,1,1,0.12,1435527,"Carolina","Puerto Rico",905,441.99,3333333.33,"urban"
88444,240000,2,2,0.11,1988125,"Patillas","Puerto Rico",645,372.09,2181818.18,"urban"
75895,64000,3,1,2.03,1902784,"Caguas","Puerto Rico",678,94.4,31527.09,"rural"
75895,85000,7,4,0.08,1903934,"Caguas","Puerto Rico",950,89.47,1062500,"urban"
18211,144900,3,2,0.12,1942877,"Caguas","Puerto Rico",1086,133.43,1207500,"urban"
37047,110000,4,2,0.4,1941749,"Caguas","Puerto Rico",9180,11.98,275000,"suburban"
75895,235000,3,3,0.12,1875741,"Caguas","Puerto Rico",2052,114.52,1958333.33,"urban"
15085,110000,3,2,0.02,1855356,"Caguas","Puerto Rico",1048,104.96,5500000,"urban"
48574,80000,3,1,0.03,1855335,"Caguas","Puerto Rico",831,96.27,2666666.67,"urban"
28154,295000,6,6,0.11,1052135,"Caguas","Puerto Rico",3801,77.61,2681818.18,"urban"
75895,175000,3,2,0.08,1897352,"Caguas","Puerto Rico",1343,130.31,2187500,"urban"
46788,450000,4,4,0.1,917313,"Caguas","Puerto Rico",2818,159.69,4500000,"urban"
37047,95000,3,2,0.02,1941879,"Caguas","Puerto Rico",923,102.93,4750000,"urban"
37047,92500,3,2,0.06,1988292,"Caguas","Puerto Rico",919,100.65,1541666.67,"urban"
75895,120000,3,2,0.12,1840564,"Caguas","Puerto Rico",1152,104.17,1e+06,"urban"
29911,120000,3,1,0.02,1320016,"Caguas","Puerto Rico",1017,117.99,6e+06,"urban"
10890,138000,4,2,0.02,1837663,"Caguas","Puerto Rico",1131,122.02,6900000,"urban"
105705,795000,4,4,2500,1837636,"Caguas","Puerto Rico",4400,180.68,318,"rural"
66974,69000,3,2,0.06,595147,"Caguas","Puerto Rico",828,83.33,1150000,"urban"
102147,115000,3,2,0.02,1940221,"Caguas","Puerto Rico",1293,88.94,5750000,"urban"
72408,80000,3,1,0.2,984509,"Caguas","Puerto Rico",900,88.89,4e+05,"urban"
15080,120000,3,1,0.07,1941748,"Caguas","Puerto Rico",846,141.84,1714285.71,"urban"
62066,95000,3,10,2960,926801,"Ponce","Puerto Rico",638,148.9,32.09,"rural"
8677,75000,3,1,0.12,NA,"Ponce","Puerto Rico",1046,71.7,625000,"urban"
85121,1e+05,2,1,0.08,734905,"Ponce","Puerto Rico",817,122.4,1250000,"urban"
62066,95000,3,2,1825,1837365,"Ponce","Puerto Rico",1800,52.78,52.05,"rural"
8263,60000,3,1,0.12,1856910,"Ponce","Puerto Rico",1047,57.31,5e+05,"urban"
88444,99995,3,1,0.06,572830,"Ponce","Puerto Rico",840,119.04,1666583.33,"urban"
88444,795000,5,5,0.42,892755,"Ponce","Puerto Rico",5575,142.6,1892857.14,"suburban"
8263,499000,4,2,0.12,331946,"Ponce","Puerto Rico",2971,167.96,4158333.33,"urban"
108671,65000,3,1,0.24,1856971,"Orocovis","Puerto Rico",900,72.22,270833.33,"urban"
108671,2e+05,7,5,0.14,1856925,"Orocovis","Puerto Rico",3000,66.67,1428571.43,"urban"
108671,120000,4,3,0.22,1857021,"Orocovis","Puerto Rico",1430,83.92,545454.55,"urban"
108671,76000,3,1,0.07,1856926,"Orocovis","Puerto Rico",1000,76,1085714.29,"urban"
88444,99995,6,4,0.09,1940306,"Orocovis","Puerto Rico",1750,57.14,1111055.56,"urban"
85121,210000,3,4,5,1902768,"Ponce","Puerto Rico",1500,140,42000,"rural"
49592,57900,3,1,0.24,1959992,"Ponce","Puerto Rico",845,68.52,241250,"urban"
60830,3e+05,6,2,1.56,1856907,"Ponce","Puerto Rico",2250,133.33,192307.69,"rural"
8677,145000,3,2,0.12,827454,"Ponce","Puerto Rico",1100,131.82,1208333.33,"urban"
102922,79900,6,2,0.12,1771488,"Canovanas","Puerto Rico",2400,33.29,665833.33,"urban"
32511,96000,2,1,0.07,792804,"Canovanas","Puerto Rico",900,106.67,1371428.57,"urban"
103848,330000,8,5,0.12,1842733,"Canovanas","Puerto Rico",4371,75.5,2750000,"urban"
52707,55500,3,1,0.09,1854896,"Ceiba","Puerto Rico",704,78.84,616666.67,"urban"
29911,2e+05,3,2,0.02,1862021,"Ceiba","Puerto Rico",1126,177.62,1e+07,"urban"
72457,399900,3,3,0.76,1861865,"Ceiba","Puerto Rico",927,431.39,526184.21,"suburban"
52270,183600,3,2,0.12,249007,"Ceiba","Puerto Rico",1785,102.86,1530000,"urban"
96657,96500,3,2,0.12,1855333,"Ceiba","Puerto Rico",1057,91.3,804166.67,"urban"
62409,56000,3,1,0.12,1842566,"Ceiba","Puerto Rico",822,68.13,466666.67,"urban"
52707,275000,6,4,0.19,1657335,"Ceiba","Puerto Rico",2506,109.74,1447368.42,"urban"
28154,135000,3,2,0.01,18653,"Ceiba","Puerto Rico",1168,115.58,13500000,"urban"
75895,86000,2,1,0.03,1966344,"Cayey","Puerto Rico",550,156.36,2866666.67,"urban"
75895,84000,3,1,0.02,578117,"Cayey","Puerto Rico",800,105,4200000,"urban"
3464,175000,3,2,0.01,13811,"Cayey","Puerto Rico",1286,136.08,17500000,"urban"
47931,165000,5,5,0.46,1967733,"Fajardo","Puerto Rico",3363,49.06,358695.65,"suburban"
59533,48000,3,1,0.04,270264,"Fajardo","Puerto Rico",750,64,1200000,"urban"
74819,64900,3,2,0.08,1854832,"Fajardo","Puerto Rico",1046,62.05,811250,"urban"
96657,95000,3,1,0.12,1349573,"Fajardo","Puerto Rico",1344,70.68,791666.67,"urban"
87549,56200,3,1,0.06,792340,"Fajardo","Puerto Rico",700,80.29,936666.67,"urban"
86129,61000,2,1,1.18,66251,"Fajardo","Puerto Rico",629,96.98,51694.92,"rural"
30740,96000,3,1,0.07,1446073,"Fajardo","Puerto Rico",1048,91.6,1371428.57,"urban"
62409,85600,3,2,0.07,1903703,"Fajardo","Puerto Rico",1044,81.99,1222857.14,"urban"
46788,995000,3,3,0.01,22800,"Fajardo","Puerto Rico",2082,477.91,99500000,"urban"
29911,80000,3,2,0.02,1320000,"Fajardo","Puerto Rico",889,89.99,4e+06,"urban"
33842,64900,3,2,0.07,1307758,"Fajardo","Puerto Rico",732,88.66,927142.86,"urban"
103954,110000,3,2,0.08,1855339,"Fajardo","Puerto Rico",1157,95.07,1375000,"urban"
33842,59900,3,2,0.09,1643420,"Fajardo","Puerto Rico",1012,59.19,665555.56,"urban"
62409,35000,2,1,0.1,1884202,"Fajardo","Puerto Rico",709,49.37,350000,"urban"
33842,119900,3,2,0.11,1899795,"Fajardo","Puerto Rico",1205,99.5,1090000,"urban"
61748,1e+05,3,2,0.27,1135907,"Fajardo","Puerto Rico",380,263.16,370370.37,"suburban"
47981,395000,4,3,1.03,1824909,"Fajardo","Puerto Rico",2610,151.34,383495.15,"rural"
46475,115000,6,2,0.08,955017,"Fajardo","Puerto Rico",1400,82.14,1437500,"urban"
52270,90900,4,1,0.12,1837656,"Fajardo","Puerto Rico",760,119.61,757500,"urban"
48764,899000,2,2,1,22278,"Fajardo","Puerto Rico",1898,473.66,899000,"suburban"
12434,695000,2,2,0.12,22277,"Fajardo","Puerto Rico",1898,366.17,5791666.67,"urban"
64071,475000,1,1,0.12,22279,"Fajardo","Puerto Rico",860,552.33,3958333.33,"urban"
47931,120000,3,2,0.07,11584,"Fajardo","Puerto Rico",850,141.18,1714285.71,"urban"
61543,4e+05,4,3,0.12,1151933,"Fajardo","Puerto Rico",2742,145.88,3333333.33,"urban"
40848,110000,3,2,0.12,1862020,"Fajardo","Puerto Rico",889,123.73,916666.67,"urban"
102845,650000,1,1,0.12,1842092,"Fajardo","Puerto Rico",1031,630.46,5416666.67,"urban"
102845,550000,1,1,0.12,1842091,"Fajardo","Puerto Rico",833,660.26,4583333.33,"urban"
101850,750000,2,2,0.12,22624,"Fajardo","Puerto Rico",1898,395.15,6250000,"urban"
52707,1e+05,3,2,0.12,1873336,"Fajardo","Puerto Rico",1132,88.34,833333.33,"urban"
73046,150000,3,2,0.12,1868697,"Fajardo","Puerto Rico",1180,127.12,1250000,"urban"
52707,135000,3,2,0.12,1922252,"Fajardo","Puerto Rico",1180,114.41,1125000,"urban"
18211,159900,3,2,0.12,1966392,"Cidra","Puerto Rico",1234,129.58,1332500,"urban"
41020,550000,4,3,5,13946,"Cidra","Puerto Rico",2100,261.9,110000,"rural"
18211,130000,3,3,0.12,1846899,"Cidra","Puerto Rico",970,134.02,1083333.33,"urban"
40848,105000,3,1,0.54,1837517,"Rio Grande","Puerto Rico",1017,103.24,194444.44,"suburban"
40848,115000,3,2,0.07,1855332,"Rio Grande","Puerto Rico",1426,80.65,1642857.14,"urban"
40848,245000,4,2,0.11,196724,"Luquillo","Puerto Rico",2306,106.24,2227272.73,"urban"
52707,170000,1,1,0.12,1944921,"Luquillo","Puerto Rico",538,315.99,1416666.67,"urban"
50739,239000,3,3,5.38,915931,"Luquillo","Puerto Rico",2400,99.58,44423.79,"rural"
46475,8e+05,2,3,0.06,1617762,"Rio Grande","Puerto Rico",1900,421.05,13333333.33,"urban"
102922,1e+05,6,2,0.12,594764,"Rio Grande","Puerto Rico",2400,41.67,833333.33,"urban"
15085,215000,4,3,0.53,1032382,"Rio Grande","Puerto Rico",2669,80.55,405660.38,"suburban"
102922,109900,3,2,11,765141,"Rio Grande","Puerto Rico",1200,91.58,9990.91,"rural"
52707,112000,3,2,0.12,6948,"Rio Grande","Puerto Rico",1025,109.27,933333.33,"urban"
12876,110000,3,1,0.08,1879230,"Rio Grande","Puerto Rico",1149,95.74,1375000,"urban"
29911,215000,4,3,0.02,1861347,"Rio Grande","Puerto Rico",301,714.29,10750000,"urban"
81909,130000,3,2,0.1,42058,"Rio Grande","Puerto Rico",1110,117.12,1300000,"urban"
29911,87000,2,2,0.02,1320003,"Rio Grande","Puerto Rico",1134,76.72,4350000,"urban"
108464,625000,4,5,3,792342,"Rio Grande","Puerto Rico",7000,89.29,208333.33,"rural"
32511,269000,4,2,0.34,1820157,"Rio Grande","Puerto Rico",1195,225.1,791176.47,"suburban"
41541,580000,6,4,0.37,483426,"Rio Grande","Puerto Rico",3185,182.1,1567567.57,"suburban"
32511,425000,2,2,0.02,1820163,"Rio Grande","Puerto Rico",1100,386.36,21250000,"urban"
86059,350000,1,2,0.12,1950719,"Rio Grande","Puerto Rico",1335,262.17,2916666.67,"urban"
28154,595000,3,3,0.01,1315705,"Rio Grande","Puerto Rico",1778,334.65,59500000,"urban"
46788,895000,3,3,0.04,1453683,"Rio Grande","Puerto Rico",1885,474.8,22375000,"urban"
48764,680000,2,2,1600,11669,"Rio Grande","Puerto Rico",1600,425,425,"rural"
52707,485000,2,2,0.12,1453890,"Rio Grande","Puerto Rico",1000,485,4041666.67,"urban"
16842,64000,4,1,0.09,196715,"Salinas","Puerto Rico",757,84.54,711111.11,"urban"
88444,90000,2,3,0.08,1861866,"Salinas","Puerto Rico",1006,89.46,1125000,"urban"
16842,62000,3,1,0.12,18145,"Salinas","Puerto Rico",849,73.03,516666.67,"urban"
85121,65000,3,1,0.12,18144,"Salinas","Puerto Rico",849,76.56,541666.67,"urban"
96657,60000,4,1,0.12,1272544,"Salinas","Puerto Rico",1225,48.98,5e+05,"urban"
88444,64795,3,1,0.12,20650,"Salinas","Puerto Rico",738,87.8,539958.33,"urban"
96657,90000,4,1,0.12,1192158,"Salinas","Puerto Rico",1650,54.55,750000,"urban"
37047,89500,3,2,0.03,1855404,"San Lorenzo","Puerto Rico",700,127.86,2983333.33,"urban"
37047,182000,3,4,0.07,1450836,"San Lorenzo","Puerto Rico",1812,100.44,2600000,"urban"
37047,115000,3,1,0.09,1860260,"San Lorenzo","Puerto Rico",1159,99.22,1277777.78,"urban"
96657,299000,3,2,0.12,1850847,"San Lorenzo","Puerto Rico",2184,136.9,2491666.67,"urban"
37047,245000,4,3,0.1,1855402,"San Lorenzo","Puerto Rico",2330,105.15,2450000,"urban"
88444,225000,4,3,2.04,1966328,"Santa Isabel","Puerto Rico",1512,148.81,110294.12,"rural"
12325,65000,3,1,0.04,NA,"Santa Isabel","Puerto Rico",800,81.25,1625000,"urban"
87436,120000,3,2,0.12,21666,"Caguas","Puerto Rico",1472,81.52,1e+06,"urban"
3633,103500,3,2,0.26,1135827,"Caguas","Puerto Rico",915,113.11,398076.92,"suburban"
71837,139000,4,1,0.4,18476,"Vieques","Puerto Rico",1300,106.92,347500,"suburban"
40848,65000,3,1,0.06,1854898,"Vieques","Puerto Rico",850,76.47,1083333.33,"urban"
46581,58000,2,1,0.08,1282418,"Vieques","Puerto Rico",700,82.86,725000,"urban"
71837,79900,2,1,0.05,481364,"Vieques","Puerto Rico",780,102.44,1598000,"urban"
72457,229900,3,2,0.12,1855321,"Vieques","Puerto Rico",1682,136.68,1915833.33,"urban"
23205,189000,4,3,0.1,1010367,"Vieques","Puerto Rico",1500,126,1890000,"urban"
71837,249000,1,2,0.2,13466,"Vieques","Puerto Rico",1099,226.57,1245000,"urban"
46581,225000,2,2,0.09,1213686,"Vieques","Puerto Rico",1900,118.42,2500000,"urban"
8431,319000,2,1,0.28,1259355,"Vieques","Puerto Rico",1200,265.83,1139285.71,"suburban"
71837,299000,7,7,0.21,263836,"Vieques","Puerto Rico",3096,96.58,1423809.52,"urban"
8431,389000,2,2,1.94,1837519,"Vieques","Puerto Rico",1200,324.17,200515.46,"rural"
71837,325000,1,1,0.35,1315717,"Vieques","Puerto Rico",1400,232.14,928571.43,"suburban"
8431,799000,3,3,2.4,1021788,"Vieques","Puerto Rico",2000,399.5,332916.67,"rural"
46581,185000,3,1,0.06,1446814,"Vieques","Puerto Rico",1500,123.33,3083333.33,"urban"
71837,889000,8,8,0.25,1295461,"Vieques","Puerto Rico",9474,93.84,3556000,"urban"
71837,299000,2,3,0.09,1139150,"Vieques","Puerto Rico",1324,225.83,3322222.22,"urban"
8431,449000,2,2,0.58,1984163,"Vieques","Puerto Rico",920,488.04,774137.93,"suburban"
63639,989000,8,4,0.76,1523792,"Vieques","Puerto Rico",3310,298.79,1301315.79,"suburban"
23205,789000,4,4,0.56,669140,"Vieques","Puerto Rico",2176,362.59,1408928.57,"suburban"
46581,480000,3,2,1.23,1369294,"Vieques","Puerto Rico",1800,266.67,390243.9,"rural"
71837,749000,3,4,1,893567,"Vieques","Puerto Rico",2753,272.07,749000,"suburban"
71837,595000,5,4,0.67,1137471,"Vieques","Puerto Rico",2049,290.39,888059.7,"suburban"
71837,649000,7,5,0.25,330523,"Vieques","Puerto Rico",3229,200.99,2596000,"urban"
71837,424000,1,1,0.56,1745720,"Vieques","Puerto Rico",1228,345.28,757142.86,"suburban"
71837,550000,3,3,0.05,1128855,"Vieques","Puerto Rico",1482,371.12,1.1e+07,"urban"
71837,615000,8,8,0.1,1293225,"Vieques","Puerto Rico",1778,345.89,6150000,"urban"
8431,899000,5,5,0.16,1090342,"Vieques","Puerto Rico",2000,449.5,5618750,"urban"
88444,1e+05,3,1,0.07,1854812,"Villalba","Puerto Rico",859,116.41,1428571.43,"urban"
75895,31000,3,2,0.05,1917953,"Yabucoa","Puerto Rico",960,32.29,620000,"urban"
101,110000,4,4,0.35,1381032,"Yabucoa","Puerto Rico",1400,78.57,314285.71,"suburban"
96657,120000,3,2,0.12,1987043,"Yabucoa","Puerto Rico",1365,87.91,1e+06,"urban"
8677,175000,4,2,0.12,1856934,"Yabucoa","Puerto Rico",2228,78.55,1458333.33,"urban"
29911,44900,3,1,0.02,1319997,"Fajardo","Puerto Rico",775,57.94,2245000,"urban"
3633,115000,3,2,0.4,1897254,"Fajardo","Puerto Rico",1498,76.77,287500,"suburban"
109906,140000,3,1,0.13,1984139,"Rio Grande","Puerto Rico",1338,104.63,1076923.08,"urban"
52707,110000,3,2,0.12,1877127,"Rio Grande","Puerto Rico",1025,107.32,916666.67,"urban"
72455,130000,1,2,0.12,1902779,"Rio Grande","Puerto Rico",693,187.59,1083333.33,"urban"
29911,112700,3,1,0.02,1320015,"Rio Grande","Puerto Rico",1017,110.82,5635000,"urban"
62409,105000,3,2,0.09,1940302,"Rio Grande","Puerto Rico",1080,97.22,1166666.67,"urban"
77432,650000,2,3,0.12,1454027,"Rio Grande","Puerto Rico",1890,343.92,5416666.67,"urban"
62409,156000,3,2,0.09,1854797,"Rio Grande","Puerto Rico",1090,143.12,1733333.33,"urban"
77433,147000,2,2,0.12,1212246,"Luquillo","Puerto Rico",1035,142.03,1225000,"urban"
77433,127000,1,1,0.12,1212245,"Luquillo","Puerto Rico",800,158.75,1058333.33,"urban"
18211,41600,2,1,0.49,1648281,"Luquillo","Puerto Rico",585,71.11,84897.96,"suburban"
40848,171000,1,1,0.12,595702,"Luquillo","Puerto Rico",600,285,1425000,"urban"
46667,60000,3,1,0.04,410287,"Fajardo","Puerto Rico",800,75,1500000,"urban"
62409,102000,3,2,0.13,1900782,"Luquillo","Puerto Rico",1085,94.01,784615.38,"urban"
81909,225000,3,2,0.05,272228,"Luquillo","Puerto Rico",1207,186.41,4500000,"urban"
47931,525000,5,2,0.1,1837547,"Luquillo","Puerto Rico",2800,187.5,5250000,"urban"
23205,98000,4,3,0.2,1675336,"Vieques","Puerto Rico",2600,37.69,490000,"urban"
71837,74000,3,1,0.07,329481,"Vieques","Puerto Rico",688,107.56,1057142.86,"urban"
71837,179000,2,2,0.8,1745675,"Vieques","Puerto Rico",535,334.58,223750,"suburban"
71837,189000,4,2,0.3,1826162,"Vieques","Puerto Rico",2028,93.2,630000,"suburban"
71837,225000,2,2,0.07,280915,"Vieques","Puerto Rico",1091,206.23,3214285.71,"urban"
23205,159000,3,1,0.12,1372776,"Vieques","Puerto Rico",1000,159,1325000,"urban"
71837,239000,3,1,1.6,1143997,"Vieques","Puerto Rico",1510,158.28,149375,"rural"
71837,195000,3,1,0.1,974457,"Vieques","Puerto Rico",914,213.35,1950000,"urban"
23205,269000,4,3,0.31,1879226,"Vieques","Puerto Rico",1800,149.44,867741.94,"suburban"
23205,219000,2,2,0.07,1289949,"Vieques","Puerto Rico",875,250.29,3128571.43,"urban"
71837,239000,3,2,0.22,1310408,"Vieques","Puerto Rico",1736,137.67,1086363.64,"urban"
71837,399000,4,3,0.1,200158,"Vieques","Puerto Rico",1860,214.52,3990000,"urban"
71837,248000,3,3,0.28,1407656,"Vieques","Puerto Rico",1000,248,885714.29,"suburban"
8431,519000,3,2,0.18,1637968,"Vieques","Puerto Rico",1900,273.16,2883333.33,"urban"
71837,325000,3,2,0.26,9025,"Vieques","Puerto Rico",1066,304.88,1250000,"suburban"
23205,725000,3,3,0.95,1246310,"Vieques","Puerto Rico",1200,604.17,763157.89,"suburban"
23205,650000,3,5,0.81,4853,"Vieques","Puerto Rico",1837,353.84,802469.14,"suburban"
23205,925000,8,7,0.51,1558189,"Vieques","Puerto Rico",2520,367.06,1813725.49,"suburban"
71837,1100000,5,5,0.24,1412418,"Vieques","Puerto Rico",4117,267.18,4583333.33,"urban"
16842,165400,4,3,0.1,1854868,"Coamo","Puerto Rico",1490,111.01,1654000,"urban"
60027,166000,4,2,0.21,1946228,"Coamo","Puerto Rico",3832,43.32,790476.19,"urban"
25107,115000,3,1,0.18,1855315,"Coamo","Puerto Rico",940,122.34,638888.89,"urban"
85121,189000,3,1,2,1307744,"Coamo","Puerto Rico",1093,172.92,94500,"rural"
30740,112000,3,2,0.12,6945,"Las Piedras","Puerto Rico",5159,21.71,933333.33,"urban"
85121,290000,4,3,0.77,1902789,"Las Piedras","Puerto Rico",3500,82.86,376623.38,"suburban"
34754,105000,3,2,0.07,1897223,"Las Piedras","Puerto Rico",900,116.67,1500000,"urban"
75895,145000,3,1,0.08,1940216,"Las Piedras","Puerto Rico",910,159.34,1812500,"urban"
75124,55000,3,2,0.28,595713,"Loiza","Puerto Rico",1245,44.18,196428.57,"suburban"
32221,90000,3,1,0.07,834276,"Loiza","Puerto Rico",904,99.56,1285714.29,"urban"
60082,95000,3,2,0.02,1855441,"Loiza","Puerto Rico",848,112.03,4750000,"urban"
29911,88000,3,3,0.11,1319998,"Luquillo","Puerto Rico",1572,55.98,8e+05,"urban"
18211,41600,2,1,0.12,1962658,"Luquillo","Puerto Rico",585,71.11,346666.67,"urban"
8373,225000,2,2,0.02,1855313,"Luquillo","Puerto Rico",948,237.34,11250000,"urban"
46475,519000,7,6,0.11,1854881,"Culebra","Puerto Rico",2116,245.27,4718181.82,"urban"
46667,6e+05,6,5,0.16,316898,"Culebra","Puerto Rico",1770,338.98,3750000,"urban"
74819,93600,1,2,0.12,614863,"Culebra","Puerto Rico",546,171.43,780000,"urban"
94933,175000,5,2,0.21,1854903,"Saint Thomas","Virgin Islands",1140,153.51,833333.33,"urban"
90105,1e+05,9,5,0.04,1660192,"Saint Thomas","Virgin Islands",3120,32.05,2500000,"urban"
68568,925000,3,5,0.81,105353,"Saint Thomas","Virgin Islands",4500,205.56,1141975.31,"suburban"
110088,265000,2,2,0.55,384570,"Saint Thomas","Virgin Islands",1152,230.03,481818.18,"suburban"
94933,320000,2,2,0.55,1837513,"Saint Thomas","Virgin Islands",1140,280.7,581818.18,"suburban"
94933,950000,5,4,0.99,1260473,"Saint Thomas","Virgin Islands",5000,190,959595.96,"suburban"
48576,875000,5,4,1.8,6137,"Saint Thomas","Virgin Islands",3300,265.15,486111.11,"rural"
82734,485000,2,1,0.55,196153,"Saint Thomas","Virgin Islands",1326,365.76,881818.18,"suburban"
48576,280000,2,1,0.55,696770,"Saint Thomas","Virgin Islands",900,311.11,509090.91,"suburban"
94933,619000,3,2,0.55,1854887,"Saint Thomas","Virgin Islands",1487,416.27,1125454.55,"suburban"
16842,132000,3,2,0.07,1879209,"Juncos","Puerto Rico",930,141.94,1885714.29,"urban"
96657,189000,2,3,0.12,1850810,"Juncos","Puerto Rico",1200,157.5,1575000,"urban"
29911,72000,3,1,0.02,1320007,"Juncos","Puerto Rico",4843,14.87,3600000,"urban"
37047,420000,6,5,0.73,1947579,"Juncos","Puerto Rico",4429,94.83,575342.47,"suburban"
72455,329900,4,4,0.28,1446813,"Gurabo","Puerto Rico",3000,109.97,1178214.29,"suburban"
52707,168000,3,2,0.03,254250,"Gurabo","Puerto Rico",1300,129.23,5600000,"urban"
96657,275000,2,3,0.12,1988288,"Gurabo","Puerto Rico",1965,139.95,2291666.67,"urban"
85121,80000,4,2,0.1,1584560,"Corozal","Puerto Rico",1500,53.33,8e+05,"urban"
85121,125000,5,2,0.13,1902744,"Corozal","Puerto Rico",1103,113.33,961538.46,"urban"
46423,125000,3,1,0.11,1844380,"Corozal","Puerto Rico",900,138.89,1136363.64,"urban"
15085,340000,6,2,3.63,1968895,"Corozal","Puerto Rico",1546,219.92,93663.91,"rural"
5254,253000,4,4,0.14,1902778,"Guayama","Puerto Rico",2800,90.36,1807142.86,"urban"
75895,84000,2,1,0.05,1727145,"Guayama","Puerto Rico",847,99.17,1680000,"urban"
16842,86000,3,2,0.11,1837230,"Guayama","Puerto Rico",1396,61.6,781818.18,"urban"
103780,95000,3,2,0.09,794756,"Guayama","Puerto Rico",998,95.19,1055555.56,"urban"
12325,143000,4,3,0.05,NA,"Humacao","Puerto Rico",2000,71.5,2860000,"urban"
17024,325000,3,3,0.12,1888316,"Humacao","Puerto Rico",1995,162.91,2708333.33,"urban"
34754,97000,3,2,0.02,NA,"Humacao","Puerto Rico",850,114.12,4850000,"urban"
2042,455000,4,2,0.1,1985076,"Humacao","Puerto Rico",2200,206.82,4550000,"urban"
17024,450000,3,3,0.12,1978017,"Humacao","Puerto Rico",2300,195.65,3750000,"urban"
64071,995000,4,3,0.12,1138682,"Humacao","Puerto Rico",2164,459.8,8291666.67,"urban"
15137,495000,4,3,0.2,1312012,"Humacao","Puerto Rico",2000,247.5,2475000,"urban"
60192,390000,2,2,0.01,1670964,"Humacao","Puerto Rico",1641,237.66,3.9e+07,"urban"
15137,695000,2,3,0.12,1316303,"Humacao","Puerto Rico",1740,399.43,5791666.67,"urban"
64071,455000,3,3,0.12,329024,"Humacao","Puerto Rico",2200,206.82,3791666.67,"urban"
15137,649000,2,2,0.12,1629120,"Humacao","Puerto Rico",1600,405.62,5408333.33,"urban"
88444,95000,4,2,0.08,1943559,"Juana Diaz","Puerto Rico",1141,83.26,1187500,"urban"
16842,1e+05,3,1,0.08,1879235,"Juana Diaz","Puerto Rico",924,108.23,1250000,"urban"
8373,110000,4,1,0.7,1400158,"Juana Diaz","Puerto Rico",1100,100,157142.86,"suburban"
95795,2e+05,2,2,0.55,952277,"Saint Thomas","Virgin Islands",1250,160,363636.36,"suburban"
48576,435000,1,2,0.55,1615655,"Saint Thomas","Virgin Islands",960,453.12,790909.09,"suburban"
12428,395000,1,1,0.55,1394540,"Saint Thomas","Virgin Islands",1050,376.19,718181.82,"suburban"
48576,549000,3,3,0.55,484004,"Saint Thomas","Virgin Islands",1750,313.71,998181.82,"suburban"
90105,315000,1,1,0.55,196591,"Saint Thomas","Virgin Islands",750,420,572727.27,"suburban"
